ctr-runtime,node,name,filename,ioengine,readwrite,direct,ramp_time,runtime,time_based,size,bs,numjobs,iodepth,op,BW,IOPS,BW (MB/s)
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,2k,4,128,read,12.2MiB/s,6243,12.492799999999999
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,32k,1,128,read,115MiB/s,3672,117.76
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,32k,2,128,read,111MiB/s,3547,113.664
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,32k,4,128,read,116MiB/s,3694,118.784
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,4k,1,128,read,23.0MiB/s,6136,23.552
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,4k,2,128,read,23.7MiB/s,6065,24.2688
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,4k,4,128,read,22.7MiB/s,5797,23.2448
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,64k,1,128,read,120MiB/s,1914,122.88
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,64k,2,128,read,120MiB/s,1906,122.88
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,64k,4,128,read,120MiB/s,1898,122.88
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,8k,1,128,read,43.0MiB/s,5621,44.032000000000004
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,8k,2,128,read,44.5MiB/s,5683,45.568
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,8k,4,128,read,41.5MiB/s,5296,42.496
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,128k,1,16,read,120MiB/s,955,122.88
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,128k,2,16,read,120MiB/s,955,122.88
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,128k,4,16,read,120MiB/s,955,122.88
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,16k,1,16,read,76.4MiB/s,4886,78.23360000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,16k,2,16,read,75.6MiB/s,4838,77.4144
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,16k,4,16,read,76.8MiB/s,4910,78.6432
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,1k,1,16,read,6500KiB/s,6499,6.5
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,1k,2,16,read,6384KiB/s,6382,6.384
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,1k,4,16,read,6376KiB/s,6374,6.376
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,256k,1,16,read,119MiB/s,476,121.85600000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,256k,2,16,read,119MiB/s,476,121.85600000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,256k,4,16,read,120MiB/s,476,122.88
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,2k,1,16,read,12.7MiB/s,6483,13.0048
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,2k,2,16,read,12.5MiB/s,6397,12.8
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,2k,4,16,read,11.6MiB/s,5919,11.8784
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,32k,1,16,read,113MiB/s,3630,115.712
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,32k,2,16,read,115MiB/s,3687,117.76
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,32k,4,16,read,116MiB/s,3721,118.784
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,4k,1,16,read,23.0MiB/s,6135,23.552
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,4k,2,16,read,24.2MiB/s,6206,24.7808
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,4k,4,16,read,23.9MiB/s,6105,24.473599999999998
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,64k,1,16,read,119MiB/s,1902,121.85600000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,64k,2,16,read,118MiB/s,1890,120.83200000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,64k,4,16,read,119MiB/s,1903,121.85600000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,8k,1,16,read,45.3MiB/s,5803,46.3872
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,8k,2,16,read,44.3MiB/s,5665,45.3632
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,8k,4,16,read,41.3MiB/s,5290,42.291199999999996
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,128k,1,2,read,119MiB/s,954,121.85600000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,128k,2,2,read,119MiB/s,953,121.85600000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,128k,4,2,read,119MiB/s,952,121.85600000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,16k,1,2,read,74.3MiB/s,4754,76.0832
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,16k,2,2,read,75.1MiB/s,4806,76.9024
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,16k,4,2,read,76.2MiB/s,4879,78.0288
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,1k,1,2,read,6337KiB/s,6336,6.337
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,1k,2,2,read,6247KiB/s,6246,6.247
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,1k,4,2,read,6408KiB/s,6407,6.408
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,256k,1,2,read,120MiB/s,478,122.88
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,256k,2,2,read,119MiB/s,477,121.85600000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,256k,4,2,read,119MiB/s,477,121.85600000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,2k,1,2,read,12.3MiB/s,6308,12.5952
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,2k,2,2,read,12.4MiB/s,6326,12.697600000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,2k,4,2,read,12.0MiB/s,6146,12.288
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,32k,1,2,read,112MiB/s,3590,114.688
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,32k,2,2,read,114MiB/s,3646,116.736
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,32k,4,2,read,116MiB/s,3704,118.784
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,4k,1,2,read,24.3MiB/s,6225,24.883200000000002
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,4k,2,2,read,23.2MiB/s,5949,23.7568
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,4k,4,2,read,23.7MiB/s,6055,24.2688
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,64k,1,2,read,119MiB/s,1901,121.85600000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,64k,2,2,read,119MiB/s,1900,121.85600000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,64k,4,2,read,119MiB/s,1903,121.85600000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,8k,1,2,read,42.3MiB/s,5408,43.3152
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,8k,2,2,read,43.9MiB/s,5619,44.9536
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,8k,4,2,read,43.4MiB/s,5551,44.4416
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,128k,1,256,read,120MiB/s,950,122.88
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,128k,2,256,read,122MiB/s,957,124.928
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,128k,4,256,read,124MiB/s,954,126.976
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,16k,1,256,read,85.4MiB/s,5459,87.4496
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,16k,2,256,read,86.3MiB/s,5507,88.3712
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,16k,4,256,read,87.1MiB/s,5540,89.1904
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,1k,1,256,read,6165KiB/s,6156,6.165
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,1k,2,256,read,6396KiB/s,6378,6.396
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,1k,4,256,read,6467KiB/s,6432,6.4670000000000005
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,256k,1,256,read,121MiB/s,476,123.904
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,256k,2,256,read,124MiB/s,477,126.976
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,256k,4,256,read,127MiB/s,472,130.048
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,2k,1,256,read,12.7MiB/s,6483,13.0048
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,2k,2,256,read,12.2MiB/s,6246,12.492799999999999
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,2k,4,256,read,12.5MiB/s,6362,12.8
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,32k,1,256,read,117MiB/s,3744,119.808
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,32k,2,256,read,117MiB/s,3717,119.808
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,32k,4,256,read,118MiB/s,3731,120.83200000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,4k,1,256,read,24.7MiB/s,6313,25.2928
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,4k,2,256,read,24.9MiB/s,6370,25.4976
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,4k,4,256,read,24.5MiB/s,6229,25.088
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,64k,1,256,read,120MiB/s,1903,122.88
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,64k,2,256,read,119MiB/s,1894,121.85600000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,64k,4,256,read,121MiB/s,1896,123.904
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,8k,1,256,read,46.8MiB/s,5982,47.9232
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,8k,2,256,read,44.4MiB/s,5667,45.4656
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,8k,4,256,read,46.9MiB/s,5966,48.0256
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,128k,1,32,read,120MiB/s,957,122.88
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,128k,2,32,read,119MiB/s,953,121.85600000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,128k,4,32,read,119MiB/s,950,121.85600000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,16k,1,32,read,86.4MiB/s,5528,88.4736
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,16k,2,32,read,87.6MiB/s,5606,89.7024
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,16k,4,32,read,84.4MiB/s,5397,86.4256
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,1k,1,32,read,5873KiB/s,5871,5.873
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,1k,2,32,read,6355KiB/s,6352,6.355
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,1k,4,32,read,6273KiB/s,6268,6.273
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,256k,1,32,read,119MiB/s,474,121.85600000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,256k,2,32,read,119MiB/s,474,121.85600000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,256k,4,32,read,120MiB/s,475,122.88
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,2k,1,32,read,12.8MiB/s,6539,13.1072
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,2k,2,32,read,12.5MiB/s,6399,12.8
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,2k,4,32,read,12.3MiB/s,6291,12.5952
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,32k,1,32,read,117MiB/s,3757,119.808
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,32k,2,32,read,117MiB/s,3749,119.808
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,32k,4,32,read,116MiB/s,3696,118.784
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,4k,1,32,read,25.1MiB/s,6432,25.7024
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,4k,2,32,read,24.3MiB/s,6216,24.883200000000002
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,4k,4,32,read,24.2MiB/s,6188,24.7808
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,64k,1,32,read,119MiB/s,1903,121.85600000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,64k,2,32,read,120MiB/s,1912,122.88
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,64k,4,32,read,119MiB/s,1900,121.85600000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,8k,1,32,read,46.2MiB/s,5911,47.308800000000005
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,8k,2,32,read,46.5MiB/s,5952,47.616
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,8k,4,32,read,45.6MiB/s,5830,46.6944
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,128k,1,4,read,117MiB/s,935,119.808
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,128k,2,4,read,119MiB/s,953,121.85600000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,128k,4,4,read,119MiB/s,950,121.85600000000001
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,16k,1,4,read,85.6MiB/s,5478,87.6544
kata-qemu,Standard_D2s_v4,test,test,libaio,randread,1,30,30,1,4g,16k,2,4,read,86.0MiB/s,5566,88.06400000000001
